User,Subscription,Cost,StartDate,EndDate,Status
Emma,Amazon Prime,12.99,2023-08-29,2024-08-28,Cancelled
Frank,Netflix,15.99,2023-05-25,2024-05-24,Cancelled
David,YouTube Premium,12.99,2023-03-03,2024-03-02,Active
Alice,Netflix,15.99,2023-05-01,2024-04-30,Cancelled
Jack,HBO Max,14.99,2023-12-07,2024-12-06,Cancelled
Bob,Disney+,7.99,2023-05-07,2024-05-06,Active
Bob,HBO Max,14.99,2023-08-06,2024-08-05,Cancelled
Emma,Hulu,11.99,2023-12-12,2024-12-11,Active
Grace,YouTube Premium,12.99,2023-07-17,2024-07-16,Active
Isaac,Apple Music,10.99,2023-05-24,2024-05-23,Active
Hannah,Apple Music,10.99,2023-02-21,2024-02-21,Cancelled
Charlie,YouTube Premium,12.99,2023-06-24,2024-06-23,Active
Jack,Amazon Prime,12.99,2023-12-23,2024-12-22,Active
Grace,Netflix,15.99,2023-03-14,2024-03-13,Cancelled
Frank,Spotify,9.99,2023-12-24,2024-12-23,Active
Jack,YouTube Premium,12.99,2023-04-11,2024-04-10,Cancelled
Charlie,Netflix,15.99,2023-12-04,2024-12-03,Cancelled
Grace,Amazon Prime,12.99,2023-04-22,2024-04-21,Active
Alice,Netflix,15.99,2023-02-10,2024-02-10,Active
Frank,Spotify,9.99,2023-03-09,2024-03-08,Cancelled
Isaac,Hulu,11.99,2023-08-29,2024-08-28,Cancelled
Grace,Hulu,11.99,2023-12-28,2024-12-27,Active
Isaac,Netflix,15.99,2023-09-18,2024-09-17,Active
Alice,Netflix,15.99,2023-06-13,2024-06-12,Active
Emma,YouTube Premium,12.99,2023-12-13,2024-12-12,Active
Jack,Hulu,11.99,2023-03-09,2024-03-08,Active
Emma,Netflix,15.99,2023-05-11,2024-05-10,Cancelled
David,YouTube Premium,12.99,2023-09-24,2024-09-23,Active
Grace,Hulu,11.99,2023-09-10,2024-09-09,Cancelled
Hannah,Apple Music,10.99,2023-01-04,2024-01-04,Cancelled
Bob,Amazon Prime,12.99,2023-10-30,2024-10-29,Active
Frank,Amazon Prime,12.99,2023-11-25,2024-11-24,Active
Jack,Apple Music,10.99,2023-03-25,2024-03-24,Active
David,Netflix,15.99,2023-01-04,2024-01-04,Active
Hannah,YouTube Premium,12.99,2023-02-03,2024-02-03,Cancelled
Bob,Apple Music,10.99,2023-03-23,2024-03-22,Cancelled
Isaac,Disney+,7.99,2023-07-06,2024-07-05,Active
Frank,Apple Music,10.99,2023-11-11,2024-11-10,Cancelled
Isaac,YouTube Premium,12.99,2023-12-11,2024-12-10,Cancelled
Emma,Apple Music,10.99,2023-04-26,2024-04-25,Active
Alice,HBO Max,14.99,2023-08-19,2024-08-18,Active
Charlie,Hulu,11.99,2023-03-18,2024-03-17,Active
Bob,Apple Music,10.99,2023-05-08,2024-05-07,Active
Hannah,Amazon Prime,12.99,2023-05-04,2024-05-03,Active
Bob,Netflix,15.99,2023-12-10,2024-12-09,Active
Bob,Netflix,15.99,2023-04-21,2024-04-20,Active
Grace,Disney+,7.99,2023-04-30,2024-04-29,Active
David,Disney+,7.99,2023-06-03,2024-06-02,Active
Hannah,Spotify,9.99,2023-07-10,2024-07-09,Cancelled
Bob,Hulu,11.99,2023-07-15,2024-07-14,Cancelled
Alice,Spotify,9.99,2023-01-04,2024-01-04,Active
Hannah,Amazon Prime,12.99,2023-07-24,2024-07-23,Cancelled
Grace,Spotify,9.99,2023-08-05,2024-08-04,Active
David,Amazon Prime,12.99,2023-08-08,2024-08-07,Cancelled
Bob,Amazon Prime,12.99,2023-04-05,2024-04-04,Cancelled
Jack,YouTube Premium,12.99,2023-06-13,2024-06-12,Cancelled
Jack,Disney+,7.99,2023-04-22,2024-04-21,Active
Alice,HBO Max,14.99,2023-12-21,2024-12-20,Active
Alice,HBO Max,14.99,2023-02-10,2024-02-10,Cancelled
Isaac,Netflix,15.99,2023-05-26,2024-05-25,Cancelled
Charlie,HBO Max,14.99,2023-05-20,2024-05-19,Cancelled
Frank,Amazon Prime,12.99,2023-12-14,2024-12-13,Active
David,Amazon Prime,12.99,2023-03-31,2024-03-30,Cancelled
David,Amazon Prime,12.99,2023-05-29,2024-05-28,Active
Charlie,Apple Music,10.99,2023-01-18,2024-01-18,Cancelled
Charlie,Hulu,11.99,2023-04-08,2024-04-07,Cancelled
Grace,Disney+,7.99,2023-04-02,2024-04-01,Active
Emma,HBO Max,14.99,2023-11-07,2024-11-06,Cancelled
Charlie,Spotify,9.99,2023-10-15,2024-10-14,Active
Bob,Amazon Prime,12.99,2023-05-11,2024-05-10,Cancelled
Hannah,Amazon Prime,12.99,2023-01-27,2024-01-27,Active
Hannah,YouTube Premium,12.99,2023-05-07,2024-05-06,Cancelled
Bob,Apple Music,10.99,2023-07-16,2024-07-15,Cancelled
Grace,Disney+,7.99,2023-04-21,2024-04-20,Active
Grace,Netflix,15.99,2023-04-24,2024-04-23,Cancelled
Isaac,Amazon Prime,12.99,2023-06-07,2024-06-06,Cancelled
David,Netflix,15.99,2023-07-31,2024-07-30,Cancelled
Grace,Apple Music,10.99,2023-02-28,2024-02-28,Cancelled
Hannah,Disney+,7.99,2023-06-04,2024-06-03,Cancelled
Hannah,Amazon Prime,12.99,2023-10-25,2024-10-24,Cancelled
David,Hulu,11.99,2023-04-11,2024-04-10,Cancelled
Hannah,Disney+,7.99,2023-11-24,2024-11-23,Active
Charlie,Spotify,9.99,2023-10-13,2024-10-12,Cancelled
Hannah,HBO Max,14.99,2023-07-16,2024-07-15,Active
Frank,Hulu,11.99,2023-11-24,2024-11-23,Cancelled
Hannah,YouTube Premium,12.99,2023-07-06,2024-07-05,Cancelled
Alice,Disney+,7.99,2023-12-04,2024-12-03,Cancelled
Hannah,YouTube Premium,12.99,2023-05-27,2024-05-26,Active
Jack,Apple Music,10.99,2023-12-24,2024-12-23,Active
Hannah,Hulu,11.99,2023-10-24,2024-10-23,Active
Jack,YouTube Premium,12.99,2023-01-13,2024-01-13,Cancelled
Grace,HBO Max,14.99,2023-07-11,2024-07-10,Active
Jack,Hulu,11.99,2023-12-25,2024-12-24,Active
Jack,Netflix,15.99,2023-10-02,2024-10-01,Active
Charlie,Spotify,9.99,2023-05-19,2024-05-18,Active
Frank,Amazon Prime,12.99,2023-11-15,2024-11-14,Cancelled
Charlie,Disney+,7.99,2023-09-22,2024-09-21,Active
Hannah,Apple Music,10.99,2023-05-06,2024-05-05,Active
Grace,YouTube Premium,12.99,2023-08-03,2024-08-02,Active
Charlie,Apple Music,10.99,2023-04-17,2024-04-16,Cancelled
Charlie,HBO Max,14.99,2023-10-17,2024-10-16,Cancelled
Grace,Spotify,9.99,2023-08-30,2024-08-29,Cancelled
Hannah,Spotify,9.99,2023-11-07,2024-11-06,Active
Bob,Spotify,9.99,2023-03-27,2024-03-26,Cancelled
Hannah,Disney+,7.99,2023-09-01,2024-08-31,Cancelled
Hannah,Hulu,11.99,2023-12-16,2024-12-15,Active
Bob,HBO Max,14.99,2023-06-03,2024-06-02,Active
Grace,Netflix,15.99,2023-06-19,2024-06-18,Active
Alice,Amazon Prime,12.99,2023-03-02,2024-03-01,Active
Grace,Disney+,7.99,2023-09-19,2024-09-18,Active
Hannah,HBO Max,14.99,2023-09-10,2024-09-09,Cancelled
David,Apple Music,10.99,2023-11-15,2024-11-14,Active
David,YouTube Premium,12.99,2023-04-20,2024-04-19,Active
Alice,Apple Music,10.99,2023-07-18,2024-07-17,Active
David,Hulu,11.99,2023-08-13,2024-08-12,Active
Bob,Hulu,11.99,2023-06-11,2024-06-10,Active
Alice,HBO Max,14.99,2023-03-06,2024-03-05,Active
Hannah,Apple Music,10.99,2023-06-03,2024-06-02,Active
Frank,Spotify,9.99,2023-05-04,2024-05-03,Active
Emma,YouTube Premium,12.99,2023-05-09,2024-05-08,Active
David,Apple Music,10.99,2023-12-28,2024-12-27,Cancelled
Charlie,YouTube Premium,12.99,2023-02-13,2024-02-13,Cancelled
David,HBO Max,14.99,2023-03-19,2024-03-18,Active
Grace,Spotify,9.99,2023-03-29,2024-03-28,Cancelled
Hannah,Disney+,7.99,2023-11-03,2024-11-02,Active
Emma,HBO Max,14.99,2023-11-13,2024-11-12,Cancelled
Grace,Netflix,15.99,2023-10-03,2024-10-02,Cancelled
Alice,Amazon Prime,12.99,2023-12-18,2024-12-17,Active
Hannah,Amazon Prime,12.99,2023-04-08,2024-04-07,Cancelled
Jack,Amazon Prime,12.99,2023-08-29,2024-08-28,Active
Hannah,HBO Max,14.99,2023-12-07,2024-12-06,Active
Frank,Spotify,9.99,2023-10-03,2024-10-02,Cancelled
Emma,Amazon Prime,12.99,2023-08-29,2024-08-28,Active
David,YouTube Premium,12.99,2023-09-22,2024-09-21,Active
Emma,Hulu,11.99,2023-01-11,2024-01-11,Cancelled
Grace,Spotify,9.99,2023-09-04,2024-09-03,Active
Hannah,Disney+,7.99,2023-05-14,2024-05-13,Cancelled
Isaac,Apple Music,10.99,2023-11-22,2024-11-21,Cancelled
Jack,HBO Max,14.99,2023-04-19,2024-04-18,Active
Isaac,Netflix,15.99,2023-02-03,2024-02-03,Active
Emma,Disney+,7.99,2023-09-20,2024-09-19,Active
Bob,Apple Music,10.99,2023-01-01,2024-01-01,Active
Jack,Netflix,15.99,2023-02-26,2024-02-26,Active
David,Hulu,11.99,2023-08-19,2024-08-18,Cancelled
Frank,Disney+,7.99,2023-12-11,2024-12-10,Cancelled
Alice,Disney+,7.99,2023-03-13,2024-03-12,Cancelled
Grace,Apple Music,10.99,2023-12-23,2024-12-22,Active
Isaac,Spotify,9.99,2023-12-13,2024-12-12,Active
Alice,Netflix,15.99,2023-12-29,2024-12-28,Cancelled
Grace,Netflix,15.99,2023-05-13,2024-05-12,Cancelled
Frank,Amazon Prime,12.99,2023-03-25,2024-03-24,Cancelled
Frank,Apple Music,10.99,2023-06-05,2024-06-04,Cancelled
Frank,Hulu,11.99,2023-08-12,2024-08-11,Cancelled
Bob,Spotify,9.99,2023-02-13,2024-02-13,Cancelled
Jack,Hulu,11.99,2023-05-05,2024-05-04,Cancelled
Hannah,HBO Max,14.99,2023-06-19,2024-06-18,Active
Charlie,HBO Max,14.99,2023-07-17,2024-07-16,Active
Charlie,YouTube Premium,12.99,2023-10-09,2024-10-08,Active
Emma,Netflix,15.99,2023-01-20,2024-01-20,Cancelled
Frank,Amazon Prime,12.99,2023-08-31,2024-08-30,Active
Isaac,Amazon Prime,12.99,2023-10-25,2024-10-24,Cancelled
Frank,YouTube Premium,12.99,2023-01-05,2024-01-05,Active
Grace,HBO Max,14.99,2023-05-31,2024-05-30,Active
Jack,Amazon Prime,12.99,2023-12-25,2024-12-24,Active
Emma,HBO Max,14.99,2023-11-19,2024-11-18,Cancelled
Isaac,Disney+,7.99,2023-05-26,2024-05-25,Active
Jack,Amazon Prime,12.99,2023-09-02,2024-09-01,Active
Bob,Hulu,11.99,2023-11-03,2024-11-02,Active
Emma,Apple Music,10.99,2023-05-01,2024-04-30,Active
David,Netflix,15.99,2023-07-15,2024-07-14,Active
Frank,Netflix,15.99,2023-10-30,2024-10-29,Active
David,YouTube Premium,12.99,2023-04-04,2024-04-03,Active
David,Disney+,7.99,2023-09-28,2024-09-27,Cancelled
Hannah,Hulu,11.99,2023-10-10,2024-10-09,Cancelled
Isaac,Disney+,7.99,2023-12-16,2024-12-15,Active
Charlie,Disney+,7.99,2023-11-24,2024-11-23,Active
Charlie,Netflix,15.99,2023-09-19,2024-09-18,Cancelled
Grace,Apple Music,10.99,2023-01-14,2024-01-14,Active
Alice,HBO Max,14.99,2023-12-02,2024-12-01,Cancelled
Isaac,Spotify,9.99,2023-08-04,2024-08-03,Active
Frank,Spotify,9.99,2023-03-25,2024-03-24,Cancelled
Bob,Netflix,15.99,2023-11-05,2024-11-04,Cancelled
Emma,Hulu,11.99,2023-02-16,2024-02-16,Active
Alice,YouTube Premium,12.99,2024-01-01,2024-12-31,Cancelled
Alice,HBO Max,14.99,2023-02-13,2024-02-13,Cancelled
Jack,YouTube Premium,12.99,2023-07-09,2024-07-08,Active
Isaac,Spotify,9.99,2023-06-02,2024-06-01,Cancelled
Jack,Amazon Prime,12.99,2023-02-21,2024-02-21,Active
Jack,YouTube Premium,12.99,2023-12-04,2024-12-03,Active
Bob,Spotify,9.99,2023-07-06,2024-07-05,Cancelled
Emma,Amazon Prime,12.99,2023-01-05,2024-01-05,Cancelled
Grace,Disney+,7.99,2023-05-19,2024-05-18,Cancelled
Charlie,Disney+,7.99,2023-01-15,2024-01-15,Active
Emma,YouTube Premium,12.99,2023-06-29,2024-06-28,Cancelled
Bob,Apple Music,10.99,2023-06-07,2024-06-06,Active
Emma,Hulu,11.99,2023-06-01,2024-05-31,Active
David,Netflix,15.99,2023-05-17,2024-05-16,Cancelled
Emma,Netflix,15.99,2023-01-03,2024-01-03,Active
Charlie,Spotify,9.99,2023-10-10,2024-10-09,Active
Alice,Apple Music,10.99,2023-03-12,2024-03-11,Active
David,Apple Music,10.99,2023-12-17,2024-12-16,Active
Hannah,Hulu,11.99,2023-10-14,2024-10-13,Active
Isaac,Amazon Prime,12.99,2023-09-11,2024-09-10,Cancelled
Grace,Netflix,15.99,2023-01-05,2024-01-05,Active
Charlie,Spotify,9.99,2023-09-16,2024-09-15,Cancelled
Grace,Spotify,9.99,2023-02-16,2024-02-16,Cancelled
Jack,HBO Max,14.99,2023-10-25,2024-10-24,Cancelled
Frank,YouTube Premium,12.99,2023-06-20,2024-06-19,Active
Emma,Netflix,15.99,2023-04-18,2024-04-17,Cancelled
Hannah,Spotify,9.99,2023-04-28,2024-04-27,Cancelled
Isaac,HBO Max,14.99,2023-12-05,2024-12-04,Cancelled
Isaac,Amazon Prime,12.99,2023-09-08,2024-09-07,Cancelled
Charlie,Spotify,9.99,2023-08-24,2024-08-23,Cancelled
Grace,Spotify,9.99,2023-09-03,2024-09-02,Active
Charlie,HBO Max,14.99,2023-08-19,2024-08-18,Active
David,Spotify,9.99,2023-02-01,2024-02-01,Active
Frank,Apple Music,10.99,2023-06-15,2024-06-14,Cancelled
Jack,Spotify,9.99,2023-11-06,2024-11-05,Cancelled
Hannah,HBO Max,14.99,2023-06-04,2024-06-03,Active
Bob,Netflix,15.99,2023-11-08,2024-11-07,Cancelled
Bob,YouTube Premium,12.99,2023-04-26,2024-04-25,Active
Jack,Apple Music,10.99,2023-04-17,2024-04-16,Active
Charlie,Netflix,15.99,2023-01-22,2024-01-22,Active
David,Apple Music,10.99,2023-01-22,2024-01-22,Cancelled
Hannah,Hulu,11.99,2023-01-26,2024-01-26,Active
David,Disney+,7.99,2023-09-17,2024-09-16,Cancelled
Hannah,YouTube Premium,12.99,2023-04-12,2024-04-11,Active
Emma,HBO Max,14.99,2023-01-25,2024-01-25,Active
Charlie,Netflix,15.99,2023-12-25,2024-12-24,Cancelled
Hannah,Spotify,9.99,2023-04-18,2024-04-17,Active
Jack,Disney+,7.99,2023-02-23,2024-02-23,Cancelled
Jack,YouTube Premium,12.99,2023-01-29,2024-01-29,Cancelled
Bob,Amazon Prime,12.99,2023-11-08,2024-11-07,Cancelled
Alice,Apple Music,10.99,2023-05-22,2024-05-21,Cancelled
Grace,Amazon Prime,12.99,2023-10-16,2024-10-15,Cancelled
Frank,Netflix,15.99,2023-06-27,2024-06-26,Active
Charlie,Disney+,7.99,2023-01-05,2024-01-05,Cancelled
Jack,Apple Music,10.99,2023-02-14,2024-02-14,Cancelled
Frank,HBO Max,14.99,2023-04-28,2024-04-27,Cancelled
Emma,Disney+,7.99,2023-09-07,2024-09-06,Cancelled
Isaac,Amazon Prime,12.99,2023-10-03,2024-10-02,Cancelled
Alice,Spotify,9.99,2023-04-04,2024-04-03,Active
Frank,YouTube Premium,12.99,2023-01-13,2024-01-13,Cancelled
David,HBO Max,14.99,2023-09-28,2024-09-27,Active
Isaac,Hulu,11.99,2023-09-26,2024-09-25,Cancelled
Alice,YouTube Premium,12.99,2023-11-30,2024-11-29,Cancelled
Frank,YouTube Premium,12.99,2023-12-16,2024-12-15,Cancelled
Hannah,HBO Max,14.99,2023-07-15,2024-07-14,Cancelled
Charlie,Netflix,15.99,2023-11-27,2024-11-26,Cancelled
Bob,YouTube Premium,12.99,2023-07-31,2024-07-30,Cancelled
Hannah,Hulu,11.99,2023-05-25,2024-05-24,Cancelled
Alice,Netflix,15.99,2023-06-20,2024-06-19,Active
Emma,Hulu,11.99,2023-01-23,2024-01-23,Active
Jack,Amazon Prime,12.99,2023-01-04,2024-01-04,Cancelled
Charlie,Hulu,11.99,2023-11-30,2024-11-29,Active
Frank,Disney+,7.99,2023-09-17,2024-09-16,Cancelled
Charlie,Apple Music,10.99,2023-05-27,2024-05-26,Active
Emma,YouTube Premium,12.99,2023-11-16,2024-11-15,Cancelled
Isaac,YouTube Premium,12.99,2023-03-14,2024-03-13,Active
Isaac,Apple Music,10.99,2023-01-13,2024-01-13,Cancelled
David,Hulu,11.99,2023-05-16,2024-05-15,Active
Hannah,Hulu,11.99,2023-06-15,2024-06-14,Cancelled
Charlie,Apple Music,10.99,2023-09-18,2024-09-17,Active
Hannah,Disney+,7.99,2023-05-30,2024-05-29,Active
Emma,Hulu,11.99,2023-07-16,2024-07-15,Active
Frank,Spotify,9.99,2023-05-01,2024-04-30,Active
Isaac,Amazon Prime,12.99,2023-04-09,2024-04-08,Cancelled
Emma,Hulu,11.99,2023-11-04,2024-11-03,Active
Jack,Spotify,9.99,2023-04-21,2024-04-20,Cancelled
Hannah,Hulu,11.99,2023-04-20,2024-04-19,Active
Isaac,Spotify,9.99,2023-07-22,2024-07-21,Active
Alice,Hulu,11.99,2023-05-01,2024-04-30,Cancelled
Frank,Netflix,15.99,2023-11-08,2024-11-07,Cancelled
Charlie,Netflix,15.99,2023-02-21,2024-02-21,Active
Isaac,Spotify,9.99,2023-11-20,2024-11-19,Active
Alice,Hulu,11.99,2023-05-27,2024-05-26,Active
Charlie,HBO Max,14.99,2023-01-07,2024-01-07,Cancelled
Alice,YouTube Premium,12.99,2023-06-21,2024-06-20,Active
David,HBO Max,14.99,2023-12-09,2024-12-08,Cancelled
Charlie,Disney+,7.99,2023-03-31,2024-03-30,Active
Bob,YouTube Premium,12.99,2023-05-09,2024-05-08,Cancelled
Emma,Netflix,15.99,2023-01-29,2024-01-29,Cancelled
Frank,Spotify,9.99,2023-08-27,2024-08-26,Active
Hannah,Disney+,7.99,2023-07-12,2024-07-11,Active
Charlie,HBO Max,14.99,2023-12-03,2024-12-02,Active
Bob,YouTube Premium,12.99,2023-12-12,2024-12-11,Active
Grace,Amazon Prime,12.99,2023-08-18,2024-08-17,Cancelled
Hannah,HBO Max,14.99,2023-03-20,2024-03-19,Active
Grace,Apple Music,10.99,2023-12-04,2024-12-03,Active
Charlie,Netflix,15.99,2023-02-15,2024-02-15,Cancelled
Jack,Hulu,11.99,2023-08-01,2024-07-31,Active
David,HBO Max,14.99,2023-08-01,2024-07-31,Cancelled
Jack,HBO Max,14.99,2023-01-31,2024-01-31,Cancelled
Grace,HBO Max,14.99,2023-04-18,2024-04-17,Active
Grace,Hulu,11.99,2023-02-02,2024-02-02,Active
David,Amazon Prime,12.99,2023-10-01,2024-09-30,Cancelled
Bob,Netflix,15.99,2023-04-16,2024-04-15,Active
Hannah,Apple Music,10.99,2023-08-23,2024-08-22,Active
Grace,YouTube Premium,12.99,2023-11-12,2024-11-11,Active
Jack,YouTube Premium,12.99,2023-11-02,2024-11-01,Cancelled
Charlie,YouTube Premium,12.99,2023-05-04,2024-05-03,Cancelled
Jack,Amazon Prime,12.99,2023-08-29,2024-08-28,Active
Hannah,Spotify,9.99,2023-02-10,2024-02-10,Active
Grace,Spotify,9.99,2023-07-05,2024-07-04,Cancelled
David,Hulu,11.99,2023-02-10,2024-02-10,Active
Bob,HBO Max,14.99,2023-09-20,2024-09-19,Active
Hannah,Hulu,11.99,2023-12-21,2024-12-20,Cancelled
Jack,HBO Max,14.99,2023-10-02,2024-10-01,Active
Emma,YouTube Premium,12.99,2023-03-05,2024-03-04,Active
David,YouTube Premium,12.99,2023-11-22,2024-11-21,Cancelled
Bob,Netflix,15.99,2023-10-08,2024-10-07,Cancelled
Bob,Netflix,15.99,2023-01-09,2024-01-09,Active
Grace,Disney+,7.99,2023-02-25,2024-02-25,Cancelled
Charlie,Apple Music,10.99,2023-02-17,2024-02-17,Cancelled
Charlie,Spotify,9.99,2023-03-31,2024-03-30,Active
Grace,Amazon Prime,12.99,2023-02-04,2024-02-04,Cancelled
Grace,Disney+,7.99,2023-10-26,2024-10-25,Active
Frank,HBO Max,14.99,2023-03-06,2024-03-05,Cancelled
Hannah,Netflix,15.99,2023-02-24,2024-02-24,Cancelled
Jack,YouTube Premium,12.99,2023-10-26,2024-10-25,Active
Frank,YouTube Premium,12.99,2023-02-11,2024-02-11,Cancelled
Hannah,Amazon Prime,12.99,2023-07-16,2024-07-15,Cancelled
Isaac,HBO Max,14.99,2023-10-01,2024-09-30,Active
Hannah,YouTube Premium,12.99,2023-11-17,2024-11-16,Cancelled
Isaac,Apple Music,10.99,2023-11-07,2024-11-06,Active
Bob,HBO Max,14.99,2023-12-19,2024-12-18,Cancelled
Frank,YouTube Premium,12.99,2023-02-05,2024-02-05,Cancelled
Grace,Apple Music,10.99,2023-03-13,2024-03-12,Cancelled
Emma,Disney+,7.99,2023-03-12,2024-03-11,Cancelled
Isaac,Disney+,7.99,2023-05-29,2024-05-28,Cancelled
Frank,YouTube Premium,12.99,2023-10-03,2024-10-02,Cancelled
Alice,Disney+,7.99,2023-06-18,2024-06-17,Cancelled
Frank,Spotify,9.99,2023-10-07,2024-10-06,Active
Frank,Amazon Prime,12.99,2023-08-09,2024-08-08,Active
Hannah,Spotify,9.99,2023-09-07,2024-09-06,Cancelled
Alice,Netflix,15.99,2023-08-22,2024-08-21,Active
David,Amazon Prime,12.99,2023-08-07,2024-08-06,Active
Frank,Apple Music,10.99,2023-11-05,2024-11-04,Active
Charlie,Hulu,11.99,2023-07-10,2024-07-09,Cancelled
Jack,Amazon Prime,12.99,2023-09-05,2024-09-04,Active
Bob,YouTube Premium,12.99,2023-07-07,2024-07-06,Cancelled
Frank,Netflix,15.99,2023-04-29,2024-04-28,Cancelled
Bob,HBO Max,14.99,2023-03-29,2024-03-28,Cancelled
Isaac,YouTube Premium,12.99,2023-10-17,2024-10-16,Cancelled
Grace,HBO Max,14.99,2023-02-19,2024-02-19,Cancelled
Bob,Amazon Prime,12.99,2023-12-27,2024-12-26,Active
Bob,YouTube Premium,12.99,2023-01-17,2024-01-17,Active
Emma,YouTube Premium,12.99,2023-07-05,2024-07-04,Active
Emma,Amazon Prime,12.99,2023-11-12,2024-11-11,Active
Bob,HBO Max,14.99,2023-11-09,2024-11-08,Cancelled
Jack,Disney+,7.99,2023-01-31,2024-01-31,Cancelled
Alice,Amazon Prime,12.99,2023-04-29,2024-04-28,Cancelled
Charlie,YouTube Premium,12.99,2023-10-17,2024-10-16,Cancelled
Jack,YouTube Premium,12.99,2023-11-24,2024-11-23,Active
Emma,Hulu,11.99,2023-09-17,2024-09-16,Active
Alice,Apple Music,10.99,2023-11-30,2024-11-29,Cancelled
Bob,YouTube Premium,12.99,2023-04-16,2024-04-15,Cancelled
Grace,Disney+,7.99,2023-12-20,2024-12-19,Cancelled
Isaac,Hulu,11.99,2023-09-25,2024-09-24,Cancelled
David,Hulu,11.99,2023-03-02,2024-03-01,Cancelled
Grace,HBO Max,14.99,2023-07-03,2024-07-02,Cancelled
Grace,Amazon Prime,12.99,2023-10-20,2024-10-19,Active
Frank,Spotify,9.99,2023-04-13,2024-04-12,Cancelled
Emma,Netflix,15.99,2023-11-21,2024-11-20,Cancelled
Frank,HBO Max,14.99,2023-03-01,2024-02-29,Active
